route_id,trip_id,direction_id,year,month,twenty_pct_occupancy,thirty_pct_occupancy,forty_pct_occupancy,median_occupancy,sixty_pct_occupancy,seventy_pct_occupancy,seventy_five_pct_occupancy,seventy_five_pct_occupancy_1,eighty_pct_occupancy,ninety_fifth_pct_occupancy,max_occupancy
21,139352,1,2019,10,3,4,5,5,6,6,7.75,7.75,9,10,10
1,138482,1,2019,9,5,6,7,11,14,18,18,18,18,18,18
10A,138576,0,2020,2,5,5,5,6,6,7,7.75,7.75,8,8,8
10G,138654,1,2019,12,0,1,1,1,2,2,3.75,3.75,4,5,6
4,137101,1,2019,7,8,10,12,13,15,17,17,17,19,25,28
1,138476,1,2019,10,1,2,3,3,4,4,4.25,4.25,5,7,7
3,151728,0,2020,4,1,1,1,2,3,3,3.75,3.75,4,5,5
9,140200,0,2020,3,7,7,8,8,9,14,17,17,17,18,19
1,135737,1,2019,5,1,3,3,4,5,6,6.25,6.25,7,12,17
1,135670,0,2019,7,4,5,5,6,7,8,8.5,8.5,9,14,14
2,133914,0,2019,5,0,0,0,0,0.79999999999999927,1,1.75,1.75,2.4000000000000012,4,5
16,136545,1,2019,6,1.2000000000000002,2,2,3,4,4,4.25,4.25,4.8000000000000007,5,5
1,138353,0,2020,2,0,2,2,3,3,4,4.25,4.25,5,8,9
21,139391,1,2020,2,1,1,2,2,3,3,3.75,3.75,4,5,5
4,137184,1,2019,6,8,10,13,15,16,17,20,20,20,23.59999999999998,27
4,139735,1,2019,9,9,11,14,18,19,21,23,23,24,29.049999999999972,32
1,133100,0,2019,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.1999999999999966,5
4,139714,1,2020,2,3,4,5,6,8,10,10.75,10.75,11,14,16
4,134446,0,2019,3,12,14.999999999999996,17,20,22,23,25,25,25.000000000000014,31,31
2,136606,0,2019,7,0,0,0.20000000000000318,1,1,2,2.25,2.25,3,5,6
4,137187,1,2019,8,8,9,12,13,13,18,19,19,19,19,21
21,139333,0,2020,2,1,1,2,2,3,3,3.75,3.75,4,5,5
9,137564,1,2019,5,2,4,4,5,6,7.8999999999999888,8.25,8.25,10,14,15
4,139843,0,2019,10,5,6,6,7,8,11,11.5,11.5,12,16,17
4,136976,0,2019,7,7,9,10,12,13,16,17,17,19,22,26
9,134782,0,2019,5,7,9,9,10,11,12,12.75,12.75,13,14,14
4,134355,0,2019,5,9,10.099999999999998,14,15,15,17,17,17,17,19,19
4,137143,0,2019,5,4,6,6,8,9,10,10.75,10.75,12,17,18
10A,138597,1,2020,3,0,0,1,1,1,2,2.75,2.75,3,3,4
4,134340,0,2019,5,5,5,6,6,7,8,8.25,8.25,13,18,18
4,139689,0,2019,10,7,8,11,12,14,16,16.25,16.25,17,21,26
4,134491,1,2019,2,4.6000000000000032,6,7,9,19,21,22,22,22,29,31
3,139483,1,2020,2,0,0,0,0,0.19999999999999996,0.39999999999999991,0.5,0.5,0.60000000000000009,0.89999999999999991,1
3,139468,1,2019,12,1.4000000000000001,2.1,2.8000000000000003,3,3.1999999999999997,3.8999999999999995,4.25,4.25,4.6000000000000005,5,5
3,139479,0,2019,9,0,0,0,0,0.59999999999999976,1,1.25,1.25,1.8000000000000005,2.4499999999999993,3
4,139848,0,2020,3,8,8,9.2000000000000082,11,12,15,17,17,18,22,24
4,134483,1,2019,5,13,16,16,16,17,17.799999999999997,18,18,18,18,18
4,137001,0,2019,8,13,15.099999999999998,17,17,18,24,25,25,25,29,30
4,139859,1,2020,3,11,13,15,15,17.599999999999991,19.699999999999985,21,21,22,27,29
4,139688,0,2020,2,2,4,5,6,7,8,9.75,9.75,10,15,17
4,139639,0,2019,9,8,9,11,13,15,16,17,17,18,21,25
4,139743,1,2020,1,8,11,12,13,15,17,17,17,18,26,30
2,133923,0,2019,1,0,0,0,1,2,2,2.75,2.75,3,5,5
4,134397,1,2019,4,7,8,10,12,14,16,17,17,18,22,26
4,137203,1,2019,6,12.400000000000004,15,17,18,19,20,21,21,22,26,28
4,139850,0,2019,9,13,14,16,18,19,19,20,20,21,22,22
9,134840,0,2019,5,4,4.4999999999999991,9,9,11,18,19,19,19,20,21
4,139787,0,2020,1,6,6,7,7,9,15,17,17,19,22.549999999999986,23
3,139466,0,2019,11,0,0,0,0,0,0.099999999999999867,0.25,0.25,0.40000000000000013,0.84999999999999987,1
4,139804,1,2019,11,9,10,10,11,12,16.699999999999985,17,17,18,21,23
16,139190,0,2019,10,4,4,4,5,5,5,5.25,5.25,7,7,7
2,139295,1,2019,11,0,1,2,2,2,3,3.5,3.5,4,5.8999999999999968,6
10C,133275,0,2019,5,2,2,2,3,4,4,4.25,4.25,5,6,6
16,139131,0,2020,1,2,2,3,4,4,5,5.5,5.5,6,9,10
4,139858,1,2020,5,12.4,13,14,14,14,14,19,19,19,21,21
9,134808,1,2019,5,3,4,5,5,5,6,7.5,7.5,8,11,11
3,140951,1,2020,2,1,1,1,1,1,1.9999999999999996,2.5,2.5,3,3,3
4,137158,1,2019,5,3,5,6,6,9,10,11.5,11.5,13,15,16
4,139724,1,2019,10,5,7,9,11,13,16,17,17,18,23,28
8,134691,0,2019,4,1,2,3,3,4,5,5.25,5.25,6,9,10
4,134495,1,2019,3,5,5,6,8,10,13,13.25,13.25,15,20.249999999999989,22
9,134873,0,2019,4,4,4,4,4.5,7,7,7.75,7.75,8,9.3499999999999943,10
8,140041,1,2020,4,0,0,1,3,3,3,4.25,4.25,5,6,7
1,138503,0,2020,1,0,1,5,7,7,7,7.5,7.5,10,10,11
4,139698,1,2019,9,6,8,10,12,14,16,17,17,18,21.449999999999978,24
4,134419,1,2019,5,7,8,8,9.5,12.599999999999996,18,19,19,19,23,27
10G,138689,0,2019,12,1.4988010832439613e-15,1,1,1.5,2,4,4.25,4.25,6,6,6
1,151710,1,2020,4,3,4,5,5,5,5,5.25,5.25,6,6,6
16,136537,1,2019,8,-4,-4,0,0,1,2,2.75,2.75,4,5,5
4,134503,1,2019,2,6,8,9,10,11,12,14.75,14.75,15,17.149999999999988,18
3,139488,1,2019,11,1,1,1.2000000000000002,1.5,1.7999999999999998,2.3,2.75,2.75,3.2,4.55,5
7,134674,1,2019,5,0,0,0,0,0,2,3.25,3.25,4,4,4
21,139343,1,2019,12,1.6000000000000014,3,3,5,5,6,7.75,7.75,8,10,10
4,139829,1,2019,12,5,6,8,9,9,9,9.75,9.75,10,10,10
4,139843,0,2020,1,10,10,11,11.5,13,14,14.25,14.25,15,23,23
16,136456,0,2019,8,0,0,0,1,1,1,2.5,2.5,4,6,7
4,139655,0,2020,2,5,6,8,12,13,16,17,17,19,37,42
4,137202,1,2019,8,12,13,13,15,16,17,17,17,17,17,19
9,137503,1,2019,8,6,8,10,12,15,17,19,19,20,27,29
21,139364,1,2020,4,2,2,2,2,2,5,6.5,6.5,12,12,12
1,138492,1,2020,2,5,8,8,10,10,10,10.25,10.25,11,11,11
1,138453,0,2019,11,2,3,4.6000000000000014,7,7,7,8.25,8.25,9,9,9
9,140120,0,2020,1,2,3,4,5,6,7,7.75,7.75,8.8000000000000451,13,19
4,139855,1,2019,10,9,10,11,12,12.799999999999994,14,17,17,19,22,22
1,133104,0,2019,2,5,5,6,6,7,7.2999999999999972,8.25,8.25,9,9,9
21,139387,1,2019,11,2,3.9999999999999987,8,8,8,10,11.75,11.75,15,16,16
10A,133183,0,2019,5,1,5,5,5,6,6,7.75,7.75,9,12,13
3,139484,1,2019,12,0,0,0,0,0.19999999999999996,0.39999999999999991,0.5,0.5,0.60000000000000009,0.89999999999999991,1
10A,138604,0,2020,1,2,2,3,4,4,6,6.75,6.75,9,10,11
4,139784,0,2019,11,12,14,15,16,17,23,24,24,24,29,30
4,137132,0,2019,6,8.600000000000005,11,15,17,19,20,20,20,21,26,28
4,139725,1,2019,12,7,9,11,12,14,16,17,17,18,23,29
8,137444,1,2019,8,0,0,0,0,0.19999999999999996,0.39999999999999991,0.5,0.5,0.60000000000000009,0.89999999999999991,1
21,136709,0,2019,5,2,2,3,3,3,4,4.25,4.25,12,13,14
21,136726,1,2019,5,0,3,3,3,4,4,4.25,4.25,7,8,8
2,136614,1,2019,5,0,0,0,0,0,0,0.5,0.5,1,2,4
4,139735,1,2019,10,9,12,15,17,19,21,22,22,23,27,33
9,134798,1,2019,1,2,3,4,5,5,6,6.5,6.5,7,9,13
9,134875,0,2019,1,4,4,8,8,13,13,18,18,19,22,22
21,136654,0,2019,8,3,4,4,4.5,12.199999999999998,16,16.25,16.25,17,17,17
4,137017,0,2019,7,7,8,9,11,13,15,16.75,16.75,18,25,35
3,134140,1,2019,3,0,1,1,1,2,2,3.5,3.5,5,5,5
4,139775,0,2019,12,12,13.599999999999998,15,16,17,20,20,20,21,21.199999999999996,22
4,137163,1,2019,8,17,18,19,21,25,26,27,27,29,33,33
3,139482,1,2019,10,2.2,2.3,2.4,2.5,2.6,2.7,2.75,2.75,2.8,2.95,3
3,139484,1,2020,3,0,0,1.1102230246251565e-16,0.5,0.99999999999999989,1.4999999999999998,1.75,1.75,2,2,2
4,139748,1,2019,12,6,8,10,12,13,16,18,18,18,23,28
4,139859,1,2019,10,12,15,15,16,17,20,20,20,21,24,26
3,139461,0,2020,4,0.60000000000000031,1,1,1,1,1,1.25,1.25,2,4.5499999999999972,5
4,137080,1,2019,7,7,10,12,13,16,19,19,19,20,24,34
4,134453,0,2019,5,12,12,14,14,16,16.599999999999994,18,18,19,21,21
10A,135928,1,2019,8,2.0000000000000018,4,5,5,5,5,5.25,5.25,6,6,6
4,139822,1,2019,11,7,8,8,9.5,10,12,13.75,13.75,14,17,19
2,136599,0,2019,7,0,1,1,1,2,3,3.25,3.25,4,5,5
9,140137,1,2020,4,3,4,4,5,6,6,6.5,6.5,8,13,14
4,137033,0,2019,8,6,7,9,10,12,15,17,17,17,25,29
21,139395,1,2020,1,0,0,0,0,1,2,2.25,2.25,4,4,4
21,136654,0,2019,5,4,5,6,7,7,9,9.25,9.25,10,13,15
1,133105,0,2019,4,4.8000000000000007,6,6,6,7,12,12.25,12.25,13,13,13
4,139743,1,2019,12,6,8,10,11,13,15,17,17,18,25,34
10A,135906,0,2019,8,4,4,4,4,4,4,4.75,4.75,5,8,8
1,133060,1,2019,5,2,4,4,7,9,9,9.75,9.75,10,14,14
4,137059,1,2019,7,5,7,8,10,13,15,16.75,16.75,20,28,42
7,137339,0,2019,8,-1,-0.300000000000002,0,0,1,1,1.25,1.25,4,4,5
10G,133356,1,2019,2,1,1,1,1,2,2.4999999999999973,3.75,3.75,5,5.7499999999999973,6
4,139817,1,2019,12,9,11,12,12,12,12,12.25,12.25,13,14,14
4,139805,1,2019,11,1.8000000000000034,3,3,4,6,6,8.5,8.5,9,10,10
21,134069,1,2019,1,-2,0,0,0,1,2,3.75,3.75,5,5,5
15,136430,0,2019,7,2,2,2,3,4,4,4.5,4.5,5,6,9
4,134332,0,2019,5,6,11,13,14,15,18,37.5,37.5,42,49,49
1,138456,0,2020,1,6,7,7,7,7,7,7.5,7.5,8,8.0999999999999979,9
1,138482,1,2020,4,8,8,10,11,11,17.099999999999998,18,18,18,18.849999999999998,19
4,139669,0,2019,10,7,9,11,13,14,16,19,19,20,24,28
21,139367,0,2019,9,0,3.899999999999999,6,6,6,8,8.75,8.75,9,10.04999999999999,16
21,139353,1,2020,3,1,1.699999999999998,2,3,3,4,4.25,4.25,5.2000000000000082,12,12
4,137206,1,2019,6,9,13,15,17,18,19,21,21,22,28,30
9,137515,0,2019,5,2,7,9,11,12.399999999999997,13,18.5,18.5,19,27,27
7,134665,0,2019,5,0,0,2,2,2,2,2.5,2.5,4,5,6
10A,138572,0,2019,12,0,0,0,0,0,0,0.25,0.25,1,2,2
1,138441,0,2020,2,0.40000000000000108,1,1,1,1,1,3.5,3.5,4,5,6
4,139784,0,2019,12,10.200000000000001,13,15,16,16,19,19,19,20.800000000000004,23,23
4,136981,0,2019,7,5,7,10,12,13,16,17,17,18,23,29
4,139819,1,2019,12,9,11,14,15,16.2,19,20,20,21,25,25
1,151701,1,2020,5,1,1,2,2,2,3,3.25,3.25,4,5,7
21,134049,1,2019,2,1,2,3,3,3,3,3.5,3.5,7,8,8
